playerName
Toby Alderweireld
Daley Blind
Gregory van der Wiel
Jan Vertonghen
Christian Eriksen
Davy Klaassen
Ragnar Klavan
Jóhann Guðmunds­son
Erik Pieters
Kevin Strootman
Georginio Wijnaldum
Jürgen Locadia
Dries Mertens
Stefan de Vrij
Terence Kongolo
Bruno Martins Indi
John Guidetti
Daryl Janmaat
Rajiv van La Parra
Filip Đuričić
Luciano Narsingh
Janko Vuković
Roberto Rosales
Nacer Chadli
Leroy Fer
Mike van der Hoorn
Cuco Martina
Virgil van Dijk
Dušan Tadić
Bram Nuytinck
Patrick van Aanholt
Davy Pröpper
Wilfried Bony
Marten de Roon
Samuel Armenteros
Maya Yoshida
Robert Mazáň
Oussama Tannane
Jordi Alba
Barragán
Víctor Ruiz
Bruno Saltor
Éver Banega
Canales
Dani Parejo
Portu
Aduriz
Paco Alcácer
Pablo Piatti
Albiol
Nacho
Sergio Ramos
Raphaël Varane
Marcelo
José Callejón
Granero
Sami Khedira
Mesut Özil
Karim Benzema
Cristiano Ronaldo
Gonzalo Higuaín
Álvaro Morata
Juanfran
Jesé Rodríguez
Joselu
Bartra
Fontás
Sergi Gómez
Montoya
Muniesa
Piqué
Ibrahim Afellay
Rafinha
Sergio Busquets
Sergi Roberto
Deulofeu
Fàbregas
Kiko Femenía
Iniesta
Javier Mascherano
Cristian Tello
Lionel Messi
Pedro
Alexis Sánchez
Aythami Artiles
Andrés Guardado
Bruno Gama
Ramalho
Saborit
San José
Ander Herrera
Iturraspe
Susaeta
De Marcos
Ibai Gómez
Fernando Llorente
Muniain
João Miranda
Diego Godín
Filipe Luis
Javi Manquillo
Gabi
Koke
Juanfran
Adrián López
Coke
Federico Fazio
Luna
Fernando Navarro
Alexis
Juan Cala
Campaña
Jesús Navas
Diego Perotti
Ivan Rakitić
Luis Alberto
Sergio Postigo
Raúl García
Timor
Florian Lejeune
Mateo Musacchio
Mario
Cristián Zapata
Jaume Costa
Mubarak Wakaso
Héctor Pérez
Trigueros
Borja Valero
Giuseppe Rossi
Jesús Gámez
Nacho Monreal
Sergio Sánchez
Isco
Recio
Joaquín
Portillo
Juanmi
Salomón Rondón
Beñat
Jefferson Montero
Rubén Castro
Jorge Molina
Ramis
Bigas
Chory Castro
Tomás Pina
Tomer Hemed
De La Bella
Íñigo Martínez
Markel Bergara
Illarramendi
Rubén Pardo
Xabi Prieto
Zurutuza
Agirretxe
Antoine Griezmann
Carlos Vela
Bernardo Espinosa
Álvaro González
Papa Diop
Adrián
Jairo Samperio
Khouma Babacar
Cristhian Stuani
Juankar
Franco Zuculini
Balenziaga
Bueno
Jordi Amat
Zouhair Feddal
Héctor Moreno
Víctor Sánchez
Didac Vilá
Philippe Coutinho
Sergi Darder
Javi López
Sergio García
Hugo Mallo
Raúl Navas
Iago Aspas
Fabián Orellana
Molinero
Manuel Iturra
Kike García
Borja Bastón
Leandro Cabrera
Gustavo Cabral
Iván López
Pedro López
